qseqid	name
mikado.2G9316.3	cellular_organisms
mikado.1G9994.1	cellular_organisms
mikado.1G1427.1	cellular_organisms
mikado.4G6469.1	cellular_organisms
mikado.1G442.1	cellular_organisms
mikado.3G7974.1	cellular_organisms
mikado.2G3982.1	cellular_organisms
mikado.chloroplastG55.1	cellular_organisms
mikado.1G11339.1	cellular_organisms
mikado.5G109.1	cellular_organisms
mikado.3G435.1	cellular_organisms
mikado.1G2062.1	cellular_organisms
mikado.5G11795.1	cellular_organisms
mikado.1G12065.2	cellular_organisms
mikado.3G7648.1	cellular_organisms
mikado.3G10076.1	cellular_organisms
mikado.4G5262.1	cellular_organisms
mikado.5G11464.1	cellular_organisms
mikado.5G2560.1	cellular_organisms
mikado.3G1049.1	cellular_organisms
mikado.4G7243.1	cellular_organisms
mikado.1G3404.1	cellular_organisms
mikado.1G8546.1	cellular_organisms
mikado.1G1404.1	cellular_organisms
mikado.3G4150.1	cellular_organisms
mikado.5G9364.1	cellular_organisms
mikado.2G6674.1	cellular_organisms
mikado.3G10714.1	cellular_organisms
mikado.3G1686.1	cellular_organisms
mikado.4G621.1	cellular_organisms
mikado.3G2146.1	cellular_organisms
mikado.1G1275.2	cellular_organisms
mikado.5G1791.1	cellular_organisms
mikado.5G10661.1	cellular_organisms
mikado.3G3092.1	cellular_organisms
mikado.2G7835.4	cellular_organisms
mikado.1G3180.1	cellular_organisms
mikado.4G4040.1	cellular_organisms
mikado.5G1524.1	cellular_organisms
mikado.3G1833.1	cellular_organisms
mikado.1G529.1	cellular_organisms
mikado.3G1851.2	cellular_organisms
mikado.1G11855.1	cellular_organisms
mikado.1G803.1	cellular_organisms
mikado.2G1026.1	cellular_organisms
mikado.2G8187.1	cellular_organisms
mikado.1G8623.1	cellular_organisms
mikado.5G2388.1	cellular_organisms
mikado.1G11416.1	cellular_organisms
mikado.1G1529.1	cellular_organisms
mikado.1G8851.1	cellular_organisms
mikado.3G8625.1	cellular_organisms
