qseqid	name
mikado.3G6448.1	cellular_organisms
mikado.5G2894.1	cellular_organisms
mikado.1G12053.1	cellular_organisms
mikado.1G9973.1	cellular_organisms
mikado.1G6490.1	cellular_organisms
mikado.2G773.1	cellular_organisms
mikado.1G15735.2	cellular_organisms
mikado.2G3982.1	cellular_organisms
mikado.3G1302.1	cellular_organisms
mikado.4G10809.1	cellular_organisms
mikado.2G6669.1	cellular_organisms
mikado.3G1584.1	cellular_organisms
mikado.5G15396.1	cellular_organisms
mikado.2G4507.3	cellular_organisms
mikado.4G2930.1	cellular_organisms
mikado.3G5677.2	cellular_organisms
mikado.1G17146.1	cellular_organisms
mikado.2G8368.1	cellular_organisms
mikado.5G617.1	cellular_organisms
mikado.5G9750.1	cellular_organisms
mikado.2G3314.1	cellular_organisms
mikado.1G10920.1	cellular_organisms
mikado.5G9259.2	cellular_organisms
mikado.1G3404.1	cellular_organisms
mikado.2G10814.1	cellular_organisms
mikado.3G5593.1	cellular_organisms
mikado.3G3336.1	cellular_organisms
mikado.3G4493.1	cellular_organisms
mikado.3G11356.1	cellular_organisms
mikado.3G5534.1	cellular_organisms
mikado.4G10177.1	cellular_organisms
mikado.5G9790.1	cellular_organisms
mikado.1G124.1	cellular_organisms
mikado.4G3476.1	cellular_organisms
mikado.1G2968.1	cellular_organisms
mikado.4G8186.1	cellular_organisms
mikado.2G4371.1	cellular_organisms
mikado.1G13809.3	cellular_organisms
mikado.2G4774.1	cellular_organisms
mikado.5G15713.1	cellular_organisms
mikado.1G3860.1	cellular_organisms
mikado.5G14832.1	cellular_organisms
mikado.3G12771.1	cellular_organisms
mikado.1G10882.1	cellular_organisms
mikado.2G5649.1	cellular_organisms
mikado.5G11828.1	cellular_organisms
mikado.5G1524.1	cellular_organisms
mikado.4G3802.1	cellular_organisms
mikado.1G2860.1	cellular_organisms
mikado.4G10636.1	cellular_organisms
mikado.2G6963.1	cellular_organisms
mikado.1G16421.2	cellular_organisms
mikado.5G14295.1	cellular_organisms
mikado.1G803.1	cellular_organisms
mikado.1G13718.1	cellular_organisms
mikado.1G16466.1	cellular_organisms
mikado.4G6951.1	cellular_organisms
mikado.5G508.1	cellular_organisms
mikado.3G4941.1	cellular_organisms
mikado.4G9873.1	cellular_organisms
mikado.1G5973.1	cellular_organisms
mikado.5G2235.1	cellular_organisms
mikado.3G11901.1	cellular_organisms
mikado.5G4223.1	cellular_organisms
mikado.5G2523.2	cellular_organisms
mikado.5G202.1	cellular_organisms
mikado.3G4801.1	cellular_organisms
mikado.1G6403.1	cellular_organisms
mikado.3G11759.1	cellular_organisms
mikado.5G4862.1	cellular_organisms
mikado.3G1850.1	cellular_organisms
mikado.5G15772.1	cellular_organisms
mikado.2G11240.1	cellular_organisms
mikado.3G10114.1	cellular_organisms
mikado.2G9243.1	cellular_organisms
mikado.2G1896.1	cellular_organisms
mikado.5G240.1	cellular_organisms
mikado.1G11970.1	cellular_organisms
mikado.2G6914.2	cellular_organisms
mikado.1G374.4	cellular_organisms
mikado.4G7074.1	cellular_organisms
mikado.3G13483.2	cellular_organisms
mikado.2G6109.1	cellular_organisms
mikado.1G12821.1	cellular_organisms
mikado.5G4962.1	cellular_organisms
mikado.5G3695.1	cellular_organisms
mikado.1G2645.1	cellular_organisms
mikado.1G2127.1	cellular_organisms
mikado.1G14191.1	cellular_organisms
mikado.3G5747.2	cellular_organisms
mikado.2G7200.1	cellular_organisms
mikado.1G16720.1	cellular_organisms
mikado.3G4611.1	cellular_organisms
mikado.2G11237.1	cellular_organisms
mikado.2G4866.1	cellular_organisms
mikado.4G9476.1	cellular_organisms
mikado.2G4279.1	cellular_organisms
mikado.4G7498.1	cellular_organisms
mikado.3G2964.1	cellular_organisms
mikado.2G11162.1	cellular_organisms
mikado.5G15684.1	cellular_organisms
mikado.4G3687.1	cellular_organisms
mikado.4G8887.1	cellular_organisms
mikado.1G5587.1	cellular_organisms
mikado.4G6445.1	cellular_organisms
mikado.5G13598.1	cellular_organisms
mikado.4G6636.1	cellular_organisms
mikado.4G3406.1	cellular_organisms
mikado.4G9082.1	cellular_organisms
mikado.1G12884.1	cellular_organisms
mikado.3G11982.1	cellular_organisms
mikado.1G6401.3	cellular_organisms
mikado.5G9892.1	cellular_organisms
mikado.3G3457.1	cellular_organisms
mikado.1G17311.1	cellular_organisms
mikado.5G14189.1	cellular_organisms
mikado.2G3841.1	cellular_organisms
mikado.3G11134.1	cellular_organisms
mikado.5G14882.1	cellular_organisms
mikado.3G1408.3	cellular_organisms
mikado.1G10593.1	cellular_organisms
mikado.5G14784.1	cellular_organisms
mikado.4G5844.2	cellular_organisms
mikado.1G12648.1	cellular_organisms
mikado.3G12363.2	cellular_organisms
mikado.1G13016.1	cellular_organisms
mikado.4G5694.1	cellular_organisms
mikado.1G3426.1	cellular_organisms
mikado.2G3840.1	cellular_organisms
mikado.3G9296.1	cellular_organisms
mikado.2G9288.1	cellular_organisms
mikado.1G13012.1	cellular_organisms
mikado.1G2409.1	cellular_organisms
mikado.1G15187.1	cellular_organisms
mikado.3G13237.1	cellular_organisms
mikado.1G5048.1	cellular_organisms
mikado.1G16218.1	cellular_organisms
mikado.3G385.1	cellular_organisms
mikado.1G9770.1	cellular_organisms
mikado.3G329.1	cellular_organisms
mikado.4G7419.1	cellular_organisms
mikado.4G1219.1	cellular_organisms
mikado.1G14206.1	cellular_organisms
mikado.1G1078.1	cellular_organisms
mikado.4G9837.1	cellular_organisms
mikado.5G12612.2	cellular_organisms
mikado.1G17250.1	cellular_organisms
mikado.4G7359.1	cellular_organisms
mikado.5G588.3	cellular_organisms
mikado.5G8606.1	cellular_organisms
mikado.1G5361.2	cellular_organisms
